曲名	アーティスト	作詞	作曲	編曲	Writer	確認事項
Q&A リサイタル!	戸松遥	田淵智也	田淵智也	古川貴浩		楽曲情報で追加確認。配信前にCD・公式サイト等で要確認。 入力表記「Q&Aリサイタル!」を「Q&A リサイタル!」へ補正。
君をのせて	井上あずみ	宮崎駿	久石譲	久石譲		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
君がいない、あの日から・・・	Acid Black Cherry	yasu	yasu	yasu		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
君の知らない物語	supercell	ryo	ryo		ryo	MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ギラギラ	Ado	てにをは	てにをは			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
暗く黒く	ずっと真夜中でいいのに。	ACAね	ACAね			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
GLAMOROUS SKY	中島美嘉	矢沢あい	HYDE			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
紅蓮華	LiSA	LiSA	草野華余子			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
Grip!	Every Little Thing	持田香織	原一博	HΛL		Every Little Thing商品情報で追加確認。配信前にCD・公式サイト等で要確認。
群青	YOASOBI	Ayase	Ayase			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
消せない罪	北出菜奈	北出菜奈	西川進	西川進		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
甲賀忍法帖	陰陽座	瞬火	瞬火			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
子供じゃないもん17	大森靖子	大森靖子	大森靖子			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
コネクト	ClariS	渡辺翔	渡辺翔		渡辺翔	MusicBrainz候補。配信前にCD・公式サイト等で要確認。
さぁ	surface	椎名慶治	永谷喬夫、椎名慶治			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
残酷な天使のテーゼ	高橋洋子	及川眠子	佐藤英敏			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
食虫植物	理芽	笹川真生	笹川真生			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
シャルル	バルーン	バルーン	バルーン			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
祝福	YOASOBI	Ayase	Ayase			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
secret base ～君がくれたもの～	ZONE	町田紀彦	町田紀彦	虎じろう		MusicBrainzリリース情報で追加確認。配信前にCD・公式サイト等で要確認。 入力表記「secret base」を「secret base ～君がくれたもの～」へ補正。
Shuffle	奥井雅美	奥井雅美	矢吹俊郎	矢吹俊郎		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
少女レイ	みきとP	みきとP	みきとP	みきとP		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
シンデレラボーイ	Saucy Dog	石原慎也	Saucy Dog			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
好きすぎて滅！	M!LK	MUTEKI DEAD SNAKE	浅野尚志	浅野尚志		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
Stellar Stellar	星街すいせい	星街すいせい	TAKU INOUE	TAKU INOUE		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
Snow halation	μ's	畑亜貴	山田高弘	中西亮輔		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ずうっといっしょ!	キタニタツヤ	キタニタツヤ	キタニタツヤ	キタニタツヤ		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
1000の言葉	倖田來未	野島一成	江口貴勅、松枝賀子	江口貴勅、松枝賀子		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
空色デイズ	中川翔子	meg rock	齋藤真也			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
タイプ:ワイルド	松本梨香	戸田昭吾	田中宏和	田中宏和		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
絶え間なく藍色	獅子志司	獅子志司	獅子志司			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
高嶺の花子さん	back number	清水依与吏	清水依与吏			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
たばこ	コレサワ	コレサワ	コレサワ			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
魂のルフラン	高橋洋子	及川眠子	大森俊之			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
チチンプイプイ	真島ゆろ	真島ゆろ	真島ゆろ			作者別楽曲情報で追加確認。配信前にCD・公式サイト等で要確認。
Tulip	速水奏／塩見周子／城ヶ崎美嘉／宮本フレデリカ／一ノ瀬志希	森由里子	石濱翔			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
津軽海峡・冬景色	石川さゆり	阿久悠	三木たかし			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
月陽-ツキアカリ-	みきとP	みきとP	みきとP			楽曲情報で追加確認。配信前にCD・公式サイト等で要確認。 入力表記「月陽 ツキアカリ」を「月陽-ツキアカリ-」へ補正。
月のワルツ	諫山実生	湯川れい子	諫山実生			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
Dear	Mrs. GREEN APPLE	杉山勝彦	杉山勝彦			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
This game	鈴木このみ	深青結希	若林充	eba、秋月須清		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
トライアングラー	坂本真綾	Gabriela Robin	菅野よう子			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
鳥の詩	Lia	麻枝准	折戸伸治		麻枝准	MusicBrainz候補。配信前にCD・公式サイト等で要確認。
童話迷宮	田村ゆかり	畑亜貴	太田雅友	太田雅友		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
夏の恋人	SHISHAMO	宮崎朝子	宮崎朝子	SHISHAMO		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
夏夜のマジック	indigo la End	川谷絵音	川谷絵音			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
奈落の花	島みやえい子	島みやえい子	中沢伴行	中沢伴行、尾崎武士		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ノーザンクロス	シェリル・ノーム starring May'n	岩里祐穂、Gabriela Robin	菅野よう子	菅野よう子		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ノーダウト	Official髭男dism	藤原聡	藤原聡			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ハイドレンジア	ヰ世界情緒	とうかさ	とうかさ			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
初恋日記	香椎モイミ feat. 音街ウナ	香椎モイミ	香椎モイミ	香椎モイミ		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
花になって	緑黄色社会	長屋晴子	穴見真吾	穴見真吾、川口圭太		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
春擬き	やなぎなぎ	やなぎなぎ	北川勝利			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ハレンチ	ちゃんみな	ちゃんみな	BENA、ちゃんみな			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
春を告げる	yama	くじら	くじら			Sony Music公式情報で追加確認。配信前にCD・公式サイト等で要確認。
Butter-Fly	和田光司	千綿偉功	千綿偉功			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
Bunny Girl	AKASAKI	AKASAKI	AKASAKI	DAIKI		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
バラ色の日々	THE YELLOW MONKEY	吉井和哉	吉井和哉			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
バラライカ	月島きらり starring 久住小春（モーニング娘。）	BULGE	迫茂樹			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
バレンタイン・キッス	国生さゆり	秋元康	瀬井広明			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
晩餐歌	tuki.	tuki.	tuki.			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
Here	JUNNA	岩里祐穂	白戸佑輔	白戸佑輔		MusicBrainzリリース情報で追加確認。配信前にCD・公式サイト等で要確認。
緋色の空	川田まみ	川田まみ	中沢伴行			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
光るなら	Goose house	Goose house	Goose house	Goose house		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ひとりごつ	ハチワレ	ナガノ	トクマルシューゴ			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
秒針を噛む	ずっと真夜中でいいのに。	ACAね	ACAね、ぬゆり			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ビビデバ	星街すいせい	ツミキ	ツミキ	ツミキ		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
Fire◎Flower	halyosy	halyosy	halyosy	halyosy		halyosy公式サイトで追加確認。配信前にCD・公式サイト等で要確認。
フォニイ	ツミキ	ツミキ	ツミキ			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
普変	ano	尾崎世界観	尾崎世界観	TAKU INOUE		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ブラック★ロックシューター	supercell	ryo	ryo			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
プラチナ	坂本真綾	岩里祐穂	菅野よう子			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
プロミスザスター	BiSH	J×S×K、松隈ケンタ	松隈ケンタ			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
プロポーズ	なとり	なとり	なとり			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ヘビースモーク	にしな	にしな	にしな			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
星間飛行	ランカ・リー＝中島愛	松本隆	菅野よう子			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
本能	椎名林檎	椎名林檎	椎名林檎			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
マジックナンバー	坂本真綾	坂本真綾	北川勝利			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
瞬き	back number	清水依与吏	清水依与吏			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
真夏の通り雨	宇多田ヒカル	宇多田ヒカル	宇多田ヒカル	宇多田ヒカル		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
丸の内サディスティック	椎名林檎	椎名林檎	椎名林檎			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
melt bitter	さとうもか	さとうもか	さとうもか			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
モニタリング	DECO*27 feat. 初音ミク	DECO*27	DECO*27			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
幽霊船戦	宝鐘マリン	かめりあ	Toby Fox	かめりあ		MusicBrainz候補。配信前にCD・公式サイト等で要確認。 入力表記「幽霊船線」を「幽霊船戦」へ補正。
夕立のりぼん	みきとP feat. 初心者F	みきとP	みきとP			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
雪の華	中島美嘉	Satomi	松本良喜			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
憂、燦々	クリープハイプ	小野健、尾崎世界観	尾崎世界観			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
YOU GET TO BURNING	松澤由美	有森聡美	大森俊之			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
容姿端麗な嘘	THE ORAL CIGARETTES	山中拓也	山中拓也	THE ORAL CIGARETTES		商品情報で追加確認。配信前にCD・公式サイト等で要確認。
YONAKI	みきとP	みきとP	みきとP			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ライオン	May'n／中島愛	Gabriela Robin	菅野よう子	菅野よう子		May'n公式ディスコグラフィーで追加確認。配信前にCD・公式サイト等で要確認。
real Emotion	倖田來未	Kenn Kato	原一博			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
恋愛サーキュレーション	千石撫子（CV：花澤香菜）	meg rock	神前暁			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
六本木心中	アン・ルイス	湯川れい子	相沢行夫、木原敏雄	伊藤銀次		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
輪舞-revolution	奥井雅美	奥井雅美	矢吹俊郎			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
わたしの一番かわいいところ	FRUITS ZIPPER	ヤマモトショウ	ヤマモトショウ	ヤマモトショウ		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ワールドイズマイン	supercell feat. 初音ミク	ryo	ryo			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
